ordenes,pasillos,items,factibilidad,obj,tiempo,it
70,304,222,true,4.416666666666667,1,8
2185,168,5831,true,162.94117647058823,299,10
5,5,5,true,5.0,1,8
2682,90,2309,true,117.2,33,10
2257,134,2104,true,202.0,11,10
417,83,411,true,36.5,1,10
82,124,246,true,12.0,1,10
7,33,7,true,2.0,1,2
1108,88,1051,true,85.0,2,10
12402,413,10974,true,181.63636363636363,370,10
7367,402,6633,true,149.33333333333334,85,10
61,116,155,true,15.0,1,10
2625,161,6407,true,177.875,203,10
1029,375,2784,true,16.761904761904763,316,10
1602,383,3689,true,16.74757281553398,437,10
16,91,59,true,3.5,1,8
133,342,337,true,11.25,1,10
10341,184,7089,true,691.0,136,10
8320,180,5747,true,392.25,87,10
8375,413,7525,true,117.38461538461539,120,10
