ordenes,pasillos,items,factibilidad,obj,tiempo,it
70,304,222,true,4.416666666666667,1,5
2185,168,5831,true,162.94117647058823,69,2
5,5,5,true,5.0,1,2
2682,90,2309,true,117.2,5,3
2257,134,2104,true,202.0,1,1
417,83,411,true,36.5,1,4
82,124,246,true,12.0,1,4
7,33,7,false,6.0,1,2
1108,88,1051,true,85.0,1,2
12402,413,10974,true,173.58333333333334,43,2
7367,402,6633,true,149.33333333333334,40,5
61,116,155,true,15.0,1,3
2625,161,6407,true,176.875,43,1
1029,375,2784,true,15.52,42,2
1602,383,3689,true,16.897727272727273,82,2
16,91,59,true,3.5,1,4
133,342,337,true,11.25,1,4
10341,184,7089,true,691.0,53,4
8320,180,5747,true,392.25,24,4
8375,413,7525,true,117.38461538461539,47,5
